File No,Applicant Name,Location/ Controlled Area,Purpose,Activity,Granted Area,District,CLU Permission on,CLU Corrigendum on,clu_year,Sl. No.,Location on Map
CLU/KL-687,Sh. Gurnam Singh S/o Sh. Sucha Singh,6 K.M. Stone Kaithal Road (Karnal),Warehouse,Warehouse,4117sqm.,Karnal,29/06/2007,--,2007,79,Map View
CLU/KL-689,"Sh. Rajesh Kakkar, S.S. Education Society",Karnal,Institutional,Sr. Sec. School,33791sqm.,Karnal,20/11/2007,--,2007,144,Map View
CLU/KL-610,M.C. Bhatia,Karnal,Commercial,Restaurant,2000sqm.,Karnal,26/11/2008,--,2008,215,Map View
CLU/KL-640,Harish Kumar S/o Surya Parkash Retail Outlet,Karsa Road (Nilokheri-Taraori),Commercial,Retail Outlet,1952.89sqm.,Karnal,24/01/2008,--,2008,18,Map View
CLU/KL-694,Sh. Manoj Gupta,118 K.M. Stone Vill. Kambopura (Karnal),Industrial,Industry,1447.8sqm.,Karnal,24/12/2008,--,2008,234,Map View
CLU/KL-724,Chaudhry Chanda Singh Shiksha Simiti,G.T. Road (Nilokheri-Taraori),Institutional,Educational,20234.1sqm.,Karnal,22/10/2008,--,2008,185,Map View
CLU/KL-725,Sh. Karambir Singh S/o Sh. Dhanna Ram,Safidon Road (Assandh),Commercial,Retail Outlet,1795.78sqm.,Karnal,17/12/2008,--,2008,229,Map View
CLU/KL-728,"M/s Bionic Food Prop., Sh. Ashish Gupta","Jarifa Viran to Uchana Road, Karnal",Industrial,Industry,1922.24sqm.,Karnal,25/11/2008,--,2008,205,Map View
CLU/KL-728,"Sh. Amrit Lal Bhamba, Sh. Ashok Kumar Bhamba",G.T. Road Indri,Recreational,Recreational,7320.59sqm.,Karnal,29/12/2008,--,2008,236,Map View
CLU/KL-701,Sh. Naveen Bansal S/o Sh. Dharampal Bansal,Uncha Samana (Karnal),Industrial,Industry,5969sqm.,Karnal,18/06/2009,--,2009,104,Map View
CLU/KL-737,Manbeer Chaudhary,Karnal,Recreational,Recreational,9204.22sqm.,Karnal,10/02/2009,--,2009,34,Map View
CLU/KL-737,Sh. Manbeer Chaudhary,Karnal,Recreational,Health Club,8833Sq.yds,Karnal,10/02/2009,--,2009,36,Map View
CLU/KL-738,M/s Jewel Classic Hotel Pvt. Ltd.,Karnal,Recreational,Health Club,7284.28sqm.,Karnal,10/02/2009,--,2009,35,Map View
CLU/KL-739,"Smt. Bimla Devi Widow, Krishan Lal, Virender Kumar Ss/o Sh. Kashi Ram",Muradgarh Road (Indri),Industrial,Industrial,5058.53sqm.,Karnal,30/01/2009,--,2009,24,Map View
CLU/KL-751,Sh. Ved Saluja,Pakhana Road (Nilokheri-Taraori),Industrial,Industrial,3667.43sqm.,Karnal,17/06/2009,--,2009,102,Map View
CLU/KL-752,M/s Soma Enterprises Ltd.,"2.8 K.M. Stone, Karnal-Indri Road",Residential,Temporary Staff accommodation & Precast Yard,94800sqm.,Karnal,03/12/2009,--,2009,227,Map View
CLU/KL-755,Sh. Karandeep Singh Deswal & Sh. Banwari Lal Deshwal,Gharaunda,Recreational,Amusement Park,13239.7sqm.,Karnal,26/11/2009,--,2009,221,Map View
CLU/KL-757,Sh. Parveen Gupta,Ramba Road (Nilokheri-Taraori),Industrial,Industry,13281.8sqm.,Karnal,07/12/2009,--,2009,229,Map View
CLU/KL-769,M/s A.M. Rice Mill,Karnal,Warehouse,Rice Mill,33321.8sqm.,Karnal,21/12/2009,--,2009,232,Map View
CLU/KL-616,"Sh. Vijay Pal Singh, Satpal Singh, Joginder Singh, Narender Singh All Ss/o Ram Chander",G.T. Road Uchana 130 K.M. Stone (Karnal),Commercial,Dhaba,3677.1sqm.,Karnal,07/05/2010,--,2010,105,Map View
CLU/KL-653,Dharam Vaisno Dhaba,Panipat,Commercial,Dhaba,1033.04sqm.,Karnal,17/06/2010,--,2010,153,Map View
CLU/KL-692,M/s Best Food International Pvt. Ltd.,Ghispari & Naruta,Warehouse,Food Godown,70263sqm.,Karnal,10/05/2010,--,2010,109,Map View
CLU/KL-732,Manoj Gupta,"G.T. Road, Karnal to Ambala (Karnal)",Commercial,Resort,31361.5sqm.,Karnal,03/03/2010,--,2010,42,Map View
CLU/KL-735,Smt. Harbhajan Kaur W/o Sh. Hardaman Singh,Karnal,Recreational,Amusement Park,9536.57sqm.,Karnal,18/02/2010,--,2010,30,Map View
CLU/KL-742,"Mahesh Kumar Bhatia, Yogesh Bhatia, Seema Bhtia, Gitika Bhatia","G.T. Road, Jhanjhari (Karnal)",Commercial,Motel without Banquet Facilities,5876.25sqm.,Karnal,03/12/2010,--,2010,354,Map View
CLU/KL-756,M/s Jyoti Book Depot Pvt. Ltd.,"6 K.M. Stone, Kaithal Road Karnal",Commercial,Banquet Hall,11332sqm.,Karnal,15/04/2010,--,2010,86,Map View
CLU/KL-757,Sh. Deepak Gupta & Others,Pakhana Road (Nilokheri-Taraori),Industrial,Industrial,8179.55sqm.,Karnal,15/02/2010,--,2010,20,Map View
CLU/KL-762,Mohinder Singh Narwal S/o Sh. Balbir Singh Narwal,"7 K.M. Stone, Karnal-Kaithal Road (Karnal)",Residential,Farmhouse,7555.31sqm.,Karnal,04/06/2010,--,2010,142,Map View
CLU/KL-764,M/s HPL Socomec Pvt. Ltd.,G.T. Road Bastara (Gharaunda),Industrial,Industry,23790sqm.,Karnal,14/07/2010,--,2010,201,Map View
CLU/KL-765,"S/Sh. Narayan Dass S/o Ram Chander, Koshalya Devi W/o Narayan Dass, Vikram Raheja S/o Narayan Dass",Kunjpura Road Newal (Karnal),Recreational,Amusement park,12409.9sqm.,Karnal,07/09/2010,--,2010,260,Map View
CLU/KL-771,Sh. Jagjeet Singh and Bhupinder Kumar Ss/o Sh. Ram Kishan,Indri,Industrial,Industry,2004.48sqm.,Karnal,04/02/2010,--,2010,18,Map View
CLU/KL-773,Sh. Palwinder Singh S/o Sh. Raj Singh Smt. Lakhwinder Kaur W/o Sh. Raj Singh,"3 K.M. Stoen, Kaithal Road Assandh",Commercial,Marriage Palace,10343.1sqm.,Karnal,07/05/2010,--,2010,106,Map View
CLU/KL-781,"Manoj Kumar, Sanjay Kumar Ss/o Sh. Prem Chand",G.T. Road (Gharaunda),Industrial,Industrial,17747sqm.,Karnal,17/05/2010,--,2010,113,Map View
CLU/KL-782,Banwari Lal S/o Chandan Singh (Farm House),Sarai Kohand G.T. Road Karnal,Residential,Farmhouse,12861.4sqm.,Karnal,11/06/2010,--,2010,143,Map View
CLU/KL-783,Sh. Sanjay Gupta,Naraina to Taraori (Nilokheri-Taraori),Industrial,Industry,25545.5sqm.,Karnal,01/06/2010,--,2010,127,Map View
CLU/KL-784,Radha Swami Satsang Bias,Behind Sec-33 Phooshgarh (Karnal),Recreational,Satsang Ghar,17300.4sqm.,Karnal,08/12/2010,--,2010,360,Map View
CLU/KL-787,M/s Soma Enterprises Ltd.,Karnal,Residential,"Temporary Site Office, Precast Yard",8503.79sqm.,Karnal,30/09/2010,--,2010,287,Map View
CLU/KL-793,Sh. Raj Kumar S/o Sh. Ram Kishan (M/s Hindustan Petroleum Corporation Ltd.,Karnal to Indri Road,Commercial,Retail Outlet,1600sqm.,Karnal,17/12/2010,--,2010,371,Map View
CLU/KL-576,"M/s Penguin Resorts Pvt. Ltd,",Uchana,Commercial,Motel,5043.08sqm.,Karnal,01/09/2011,--,2011,247,Map View
CLU/KL-648,"Raghbir Singh, Jasbir Singh Ss/o Sukhdev Singh",Tarori-Nilokheri,Commercial,Dhaba,1935sqm.,Karnal,29/12/2011,--,2011,394,Map View
CLU/KL-692,M/s Best Food International Pvt. Ltd.,Ghispari & Naruta,Warehouse,Food Grain Godown,25629.5sqm.,Karnal,01/09/2011,--,2011,248,Map View
CLU/KL-747,"Savinder Singh S/o Mehar Singh & others Samana Bahu, Tehsil-Nilokheri, Karnal",Nilokheri-Taraori,Commercial,Dhaba,1747.49sqm.,Karnal,21/10/2011,--,2011,301,Map View
CLU/KL-748,Asha Trohan w/o Rajnish Kumar Trehan,NULL,Commercial,Dhaba,4009.02sqm.,Karnal,05/09/2011,--,2011,259,Map View
CLU/KL-759,IOCL through Dharmender Malik S/o Manohar Malik,Karnal,Commercial,Petrol Pump,1126.4sqm.,Karnal,21/11/2011,--,2011,338,Map View
CLU/KL-777,"Ram Chander S/o Sh. Amar singh, Smt Omwati W/o Ram Chander",Karnal,Commercial,Banquet Hall,15807.9sqm.,Karnal,16/09/2011,--,2011,271,Map View
CLU/KL-778,"HPCL, Karnal",Karnal,Commercial,Petrol Pump,546sqm.,Karnal,12/05/2011,--,2011,137,Map View
CLU/KL-789,"Sh. Bal Krishan Sharma, Sh. Chander Mohan Sharma, Sh. Nitin Sharma","Kambopura, Karnal",Industrial,Industrial,1814sqm.,Karnal,16/02/2011,--,2011,44,Map View
CLU/KL-792,Dr. Manoj Gupta S/o Sh. Kishan Gupta,"Budha Khera to Phooshgarh Road, Karnal",Residential,Nursing Home,1790.1sqm.,Karnal,11/03/2011,--,2011,61,Map View
CLU/KL-794,"Baldev Kheterpal S/o Saummal,",Karnal,Industrial,Service Garage,2561.08sqm.,Karnal,16/09/2011,--,2011,272,Map View
CLU/KL-795,"Smt. Kiran Bala, HPC Ltd.","3.1 K.M. Stone, Karnal Road",Commercial,Retail Outlet,1732.77sqm.,Karnal,28/03/2011,--,2011,88,Map View
CLU/KL-797,Raman Chaudhary S/o Gian Chand Chaudhary,Karnal,Warehouse,Gas Godown,2262.89sqm.,Karnal,21/07/2011,--,2011,211,Map View
CLU/KL-798,Virender Kumar S/o Basant lal,Karnal,Warehouse,Gas Godown,1528.76sqm.,Karnal,21/07/2011,--,2011,212,Map View
CLU/KL-799,Sh. Ankit Garg S/o Sh. Ajay Garg,118.318 K.M. Stone (G.T. Karnal),Commercial,Retail Outlet,1170.56sqm.,Karnal,17/03/2011,--,2011,67,Map View
CLU/KL-803,"Devanand, Pardeep, Pankaj Ss/o Satya Parkash",Karnal,Industrial,Automobile Workshop,1142.88sqm.,Karnal,18/04/2011,--,2011,111,Map View
CLU/KL-806,"Jitender Mehta, Vil. Saidpra Main Kacherwa Road karnal",Karnal,Commercial,Banquet Hall,10340.3sqm.,Karnal,01/12/2011,--,2011,354,Map View
CLU/KL-808,Hawa Singh S/o Mahes Singh etc.,Karnal,Residential,Farmhouse,8713.74sqm.,Karnal,01/07/2011,--,2011,176,Map View
CLU/KL-626,Sh. Suraj Singh,Nilokheri-Taraori,Commercial,Petrol Pumb with rest facility,20169.4sqm.,Karnal,17/02/2012,--,2012,38,Map View
CLU/KL-761,Paramjit Kaur w/o Sh. Surinder Pal Singh,Karnal,Residential,Farmhouse,63951sqm.,Karnal,10/07/2012,--,2012,221,Map View
CLU/KL-802,Raman Deep Kaur w/o Gurdev Singh,Nilokheri-Taraori,Commercial,Petrol Pump,1800sqm.,Karnal,24/04/2012,--,2012,113,Map View
CLU/KL-810,Sh. Amit Kumar S/o Sh. Tirlok Chand,Nilokheri-Taraori,Commercial,Retail Outlet,1050sqm.,Karnal,04/10/2012,--,2012,284,Map View
